,X1,X2,X3,X4,X5,X6,X7,X8,X9
2005-01-01 00:00:00,-4.348485824,-128.2103003,-25.17394083,-0.637703523,-101.8098151,-20.59216851,-0.637703523,-101.8098151,-20.59216851
2005-01-01 01:00:00,-4.516168088,-106.4724029,-19.64806801,-0.523597994,-101.8098151,-20.28695901,-0.523597994,-101.8098151,-20.28695901
2005-01-01 02:00:00,-4.74699871,-99.22125747,-27.04835993,-0.478879418,-84.35341579,-20.66797075,-0.478879418,-84.35341579,-20.66797075
2005-01-01 03:00:00,-4.987144125,-97.7974015,-21.77743184,-0.465607474,-84.35341579,-20.45454137,-0.465607474,-84.35341579,-20.45454137
2005-01-01 04:00:00,-5.156719251,-122.7093249,-32.02787199,-0.46443143,-84.35341579,-21.30478371,-0.46443143,-84.35341579,-21.30478371
2005-01-01 05:00:00,-5.383694341,-144.84663,-25.04025012,-0.517138943,-89.35159579,-20.89025551,-0.517138943,-89.35159579,-20.89025551
2005-01-01 06:00:00,-5.555544427999999,-191.682374,-31.60270645,-0.7219313620000001,-145.82904140000005,-21.10368488,-0.7219313620000001,-145.82904140000005,-21.10368488
2005-01-01 07:00:00,-6.025937627999999,-404.7917233,-23.79748778,-0.997424088,-198.560913,-20.68915667,-0.997424088,-198.560913,-20.68915667
2005-01-01 08:00:00,-5.6342395010000015,-532.1887082,-27.21229701,-0.986366555,-238.58851769999995,-20.66797075,-0.986366555,-238.58851769999995,-20.66797075
2005-01-01 09:00:00,-5.358818325,-415.4181321,-19.4931279,-0.8559188879999999,-234.677413,-20.28695901,-0.8559188879999999,-234.677413,-20.28695901
2005-01-01 10:00:00,-5.90719284,-350.7985091,-20.7331594,-0.85757993,-230.9966457,-20.66797075,-0.85757993,-230.9966457,-20.66797075
2005-01-01 11:00:00,-4.808306242,-303.0922808,-14.31276915,-0.8754981059999999,-226.7017599,-20.28695901,-0.8754981059999999,-226.7017599,-20.28695901
2005-01-01 12:00:00,-4.156312147,-250.8844308,-14.79589192,-0.855906445,-226.82011430000003,-20.66797075,-0.855906445,-226.82011430000003,-20.66797075
2005-01-01 13:00:00,-3.964407872,-255.5891426,-12.13822415,-0.8290676309999999,-199.5535049,-20.28695901,-0.8290676309999999,-199.5535049,-20.28695901
2005-01-01 14:00:00,-3.877191045,-265.0630239,-16.21413478,-0.8252637829999999,-191.1503693,-20.66797075,-0.8252637829999999,-191.1503693,-20.66797075
