,X1,X2,X3,X4,X5,X6,X7,X8,X9
2005-01-01 00:00:00,-0.637703523,-101.8098151,-20.59216851,-0.637703523,-101.8098151,-20.59216851,-0.637703523,-101.8098151,-20.59216851
2005-01-01 01:00:00,-0.523597994,-101.8098151,-20.28695901,-0.523597994,-101.8098151,-20.28695901,-0.523597994,-101.8098151,-20.28695901
2005-01-01 02:00:00,-0.478879418,-84.35341579,-20.66797075,-0.478879418,-84.35341579,-20.66797075,-0.478879418,-84.35341579,-20.66797075
2005-01-01 03:00:00,-0.465607474,-84.35341579,-20.45454137,-0.465607474,-84.35341579,-20.45454137,-0.465607474,-84.35341579,-20.45454137
2005-01-01 04:00:00,-0.46443143,-84.35341579,-21.30478371,-0.46443143,-84.35341579,-21.30478371,-0.46443143,-84.35341579,-21.30478371
2005-01-01 05:00:00,-0.517138943,-89.35159579,-20.89025551,-0.517138943,-89.35159579,-20.89025551,-0.517138943,-89.35159579,-20.89025551
2005-01-01 06:00:00,-0.7219313620000001,-145.82904140000005,-21.10368488,-0.7219313620000001,-145.82904140000005,-21.10368488,-0.7219313620000001,-145.82904140000005,-21.10368488
2005-01-01 07:00:00,-0.997424088,-198.560913,-20.68915667,-0.997424088,-198.560913,-20.68915667,-0.997424088,-198.560913,-20.68915667
2005-01-01 08:00:00,-0.986366555,-238.58851769999995,-20.66797075,-0.986366555,-238.58851769999995,-20.66797075,-0.986366555,-238.58851769999995,-20.66797075
2005-01-01 09:00:00,-0.8559188879999999,-234.677413,-20.28695901,-0.8559188879999999,-234.677413,-20.28695901,-0.8559188879999999,-234.677413,-20.28695901
2005-01-01 10:00:00,-0.85757993,-230.9966457,-20.66797075,-0.85757993,-230.9966457,-20.66797075,-0.85757993,-230.9966457,-20.66797075
2005-01-01 11:00:00,-0.8754981059999999,-226.7017599,-20.28695901,-0.8754981059999999,-226.7017599,-20.28695901,-0.8754981059999999,-226.7017599,-20.28695901
2005-01-01 12:00:00,-0.855906445,-226.82011430000003,-20.66797075,-0.855906445,-226.82011430000003,-20.66797075,-0.855906445,-226.82011430000003,-20.66797075
2005-01-01 13:00:00,-0.8290676309999999,-199.5535049,-20.28695901,-0.8290676309999999,-199.5535049,-20.28695901,-0.8290676309999999,-199.5535049,-20.28695901
2005-01-01 14:00:00,-0.8252637829999999,-191.1503693,-20.66797075,-0.8252637829999999,-191.1503693,-20.66797075,-0.8252637829999999,-191.1503693,-20.66797075
